Published Date,Title,Content,URL,News Channel,News Channel URL,Bias,Tags
Mar 26 2024,"Abortion pill ruling could be ""catastrophic"" for new drug development","The Supreme Court today will hear a challenge to the FDA's approval of mifepristone, a medicine used to help induce abortions.
Why it matters: Were SCOTUS to rule in favor of mifepristone's opponents, it could chill future biotech investment for almost every medical indication.
Zoom out: The core question in the case is over whether the FDA has sole discretion to determine a drug",https://www.allsides.com/news/2024-03-26-1531/supreme-court-abortion-pill-ruling-could-be-catastrophic-new-drug-development,Axios,https://www.axios.com/2024/03/26/abortion-supreme-court-drug-development,left,"['Supreme Court', 'Abortion', 'Abortion Pills', 'Healthcare', ""Women's Issues"", 'Pharmaceuticals']"
Mar 26 2024,Supreme Court seems likely to preserve access to the abortion medication mifepristone,"The Supreme Court on Tuesday seemed likely to preserve access to a medication that was used in nearly two-thirds of all abortions in the U.S. last year, in the court’s first abortion case since conservative justices overturned Roe v. Wade two years ago.
In nearly 90 minutes of arguments, a consensus appeared to emerge that the abortion opponents who challenged the FDA’s approval of the",https://www.allsides.com/news/2024-03-26-1317/supreme-court-supreme-court-seems-likely-preserve-access-abortion-medication,Associated Press,https://apnews.com/article/supreme-court-abortion-mifepristone-telemedicine-4406d53e8af90f6a523264f535f5adf8,left,"['Supreme Court', 'Abortion', 'Roe V Wade', 'Abortion Pills', 'Healthcare', ""Women's Issues""]"
Mar 26 2024,Supreme Court Appears Unlikely to Upend Abortion-Pill Access,"The Supreme Court appeared likely to preserve access to the abortion pill mifepristone, following arguments Tuesday in which justices suggested that protecting doctors who oppose abortion wasn’t enough justification to roll back access to the drug.
The case is the first major abortion issue to reach the Supreme Court after it overruled Roe v. Wade two years ago, rescinding women’s",https://www.allsides.com/news/2024-03-26-1316/supreme-court-supreme-court-appears-unlikely-upend-abortion-pill-access,Wall Street Journal (News),https://www.wsj.com/us-news/law/supreme-court-arguments-abortion-pill-mifepristone-c31de31a?mod=hp_lead_pos1,center,"['Supreme Court', 'Abortion', 'Roe V Wade', 'Abortion Pills', 'Healthcare', ""Women's Issues""]"
Mar 26 2024,Supreme Court appears inclined to preserve broad access to abortion drug,"The Supreme Court appeared ready to dismiss a challenge on Tuesday from opponents of the Food and Drug Administration's (FDA) relaxed requirements for dispensing an abortion drug, used to terminate nearly two-thirds of abortions in the country. That would be a victory for the Biden administration and abortion rights supporters, by keeping current rules in place and allowing access in most of",https://www.allsides.com/news/2024-03-26-1315/supreme-court-supreme-court-appears-inclined-preserve-broad-access-abortion,Fox News (Online News),https://www.foxnews.com/politics/supreme-court-inclined-preserve-broad-access-abortion-drug,right,"['Supreme Court', 'Abortion', 'Roe V Wade', 'Abortion Pills', 'Healthcare', ""Women's Issues""]"
Mar 26 2024,We’re who Justice Alito said should make abortion law. Leave mifepristone alone.,"The Supreme Court will hear oral arguments Tuesday in the biggest abortion case in the two years since it rolled back women’s reproductive health protections by striking down Roe v. Wade. In that disastrous 6-3 decision, Justice Samuel Alito, writing for the majority, said, “It is time to heed the Constitution and return the issue of abortion to the people’s elected representatives.”",https://www.allsides.com/news/2024-03-26-1204/public-health-we-re-who-justice-alito-said-should-make-abortion-law-leave,Multiple Writers - Lean Left,https://www.msnbc.com/opinion/msnbc-opinion/abortion-pill-ruling-mifepristone-supreme-court-rcna144565,left,"['Abortion', 'Public Health', 'Healthcare', 'Prescription Drugs', 'Abortion Pills', 'Supreme Court']"
Mar 26 2024,Protests rage amid SCOTUS abortion arguments,"WASHINGTON (NEXSTAR) – Protesters made their presence known bright and early Tuesday, ahead of the oral arguments set to take place at the Supreme Court. The medication Mifepristone, used in over 60% of all abortions in 2023, may become more difficult to obtain going forward if the Supreme Court rules that moves by the Food and Drug Administration in 2016 and 2021 violated federal law. Both",https://www.allsides.com/news/2024-03-26-0930/abortion-protests-rage-amid-scotus-abortion-arguments,Fox 4 Kansas City,https://fox4kc.com/politics/washington-dc-bureau/protests-rage-amid-scotus-abortion-arguments,center,"['Protests', 'Abortion']"
Mar 26 2024,Florida arrests petition gatherer accused of submitting fraudulent signatures for abortion measure,"The Florida Department of Law Enforcement (FDLE) has arrested a Tampa man for allegedly committing petition fraud on an abortion initiative. Investigators say Andres Felipe Salazar, a paid petition circulator for Floridians Protecting Freedom, submitted more than 30 fraudulent signatures in Sarasota County. Tampa police arrested Salazar on March 21. The 37-year-old is being held on 12 charges",https://www.allsides.com/news/2024-03-26-0830/abortion-florida-arrests-petition-gatherer-accused-submitting-fraudulent,Florida Politics,https://floridapolitics.com/archives/666809-florida-arrests-petition-gatherer-accused-of-submitting-fraudulent-signatures-for-abortion-measure,center,['Abortion']
Mar 26 2024,Today on Texas Standard: An Indigenous perspective on the solar eclipse from a traditional healer,"Here’s what’s coming up on Texas Standard for Tuesday, March 26, 2024. Listen on your Texas public radio station, or ask your smart speaker to play Texas Standard. Check back later today for updated story links and audio. The Supreme Court is hearing oral arguments today in two cases challenging access to medication abortion. Southern Methodist University health law professor Seema Mohapatra",https://www.allsides.com/news/2024-03-26-0745/general-news-today-texas-standard-indigenous-perspective-solar-eclipse,Texas Standard,https://texasstandard.org/stories/today-on-texas-standard-march-26-2024,center,['-General News']
Mar 26 2024,Abortion pill usage surged post-Roe. These numbers show the dramatic rise,"Americans’ use of medication abortion has rapidly expanded since 2000, when the FDA approved the use of mifepristone. Less than a quarter of a century ago, abortion pills could not be legally obtained from a U.S.-based medical provider. Now, they are the most common method of terminating a pregnancy — used by 3 out of 5 abortion patients in the U.S. Americans’ use of medication abortion has",https://www.allsides.com/news/2024-03-26-0430/abortion-abortion-pill-usage-surged-post-roe-these-numbers-show-dramatic-rise,Los Angeles Times,https://latimes.com/world-nation/story/2024-03-26/abortion-pills-ruling-mifepristone-supreme-court-numbers,left,['Abortion']
Mar 26 2024,Supreme Court considers abortion pill access and major Baltimore bridge collapses: Morning Rundown,The Supreme Court will hear arguments over whether the abortion pill mifepristone should remain on the market. Federal agents executed search warrants at properties belonging to rap mogul Sean “Diddy” Combs. And the Los Angeles Dodgers’ Shohei Ohtani spoke for the first time since his former interpreter was accused of “massive theft.” Here’s what to know today. The Supreme Court will hear,https://www.allsides.com/news/2024-03-26-0430/supreme-court-supreme-court-considers-abortion-pill-access-and-major-baltimore,NBC News (Online),https://nbcnews.com/news/abortion-pill-baltimore-bridge-collapse-morning-rundown-rcna145048,left,"['Abortion', 'Supreme Court']"
